Question,Answer
Can a private person arrest someone?,"Yes, under certain circumstances (Section 43 CrPC), such as catching a person committing a serious crime."
What is remand?,It's when a person is kept in custody (police or judicial) during investigation.
What is a warrant?,A legal document issued by a Magistrate authorizing police to arrest or search.
What is a summons?,A legal order to appear before a court.
What is anticipatory bail?,Bail applied for before an arrest if someone fears being arrested.
What is plea bargaining?,ItÂs a process where the accused agrees to plead guilty for a lesser sentence.
Can someone be arrested without a warrant?,"Yes, for cognizable offences under Section 41 of the CrPC."
How long can police detain someone without court permission?,24 hours under Section 57 of the CrPC.
What is a charge sheet?,A police report filed after investigation that details evidence against the accused.
What is a summary trial?,A faster and simpler trial process used for minor offences.
What is the difference between a summons-case and a warrant-case?,A summons-case is for less serious offences; a warrant-case is for more serious ones.
What is the role of a Magistrate?,"Magistrates conduct trials, take cognizance, issue orders, and grant/remand bail."
Can a victim be compensated?,"Yes, under Section 357 and 357A CrPC, courts can order compensation."
What happens after an FIR is filed?,"Police investigate, gather evidence, and may arrest the accused or file a final report."
What is judicial custody?,"When the accused is sent to jail by the court, not kept in police lock-up."
What rights does a person have when arrested?,The person must be informed of the reason for arrest and their right to bail (Section 50 CrPC).
Is legal aid available to the accused?,"Yes, under Section 304 CrPC, the State provides legal aid if the accused cannot afford a lawyer."
Who can arrest a person?,"Police officers, Magistrates, and even private individuals under specific conditions (Sections 41-44 CrPC)."
Can arrest be made at night?,"Yes, if lawful grounds exist, though some procedural rules apply."
What is Section 41A CrPC?,It requires police to issue a notice of appearance instead of arrest for certain offences.
What is police custody vs judicial custody?,Police custody is with police for questioning; judicial custody means jail under court order.
What is the maximum period of detention without charge sheet?,"60 or 90 days depending on the offence, after which bail becomes a right (Section 167 CrPC)."
Who ensures the safety of arrested persons?,Section 55A CrPC makes the arresting authority responsible for their safety.
Can women be arrested at night?,"No, except in exceptional circumstances and with the presence of a woman police officer."
Is medical examination allowed for accused?,"Yes, under Sections 53 and 54, medical examination can be done to collect evidence."
Can an advocate meet the arrested person?,"Yes, as per Section 41D CrPC, during interrogation, though not always during questioning."
Can an arrested person refuse to give their name?,"No, refusal can lead to arrest under Section 42 CrPC."
What happens if someone absconds?,A proclamation and attachment of property can be issued (Sections 82-83 CrPC).
What is preventive arrest?,Arrest to prevent a person from committing a cognizable offence (Section 151 CrPC).
Can police arrest for a non-cognizable offence?,Only with Magistrate's permission (Section 155 CrPC).
Is arrest always necessary in every FIR?,"No, Supreme Court guidelines say arrest should not be automatic unless necessary."
Can accused get copy of FIR?,"Yes, it is a right of the accused."
Is there a control room to monitor arrests?,"Yes, Section 41C mandates a district control room to keep arrest records."
What is Section 60A CrPC?,It mandates that arrest must be made strictly following CrPC rules.
Can relatives be informed about arrest?,"Yes, Section 50A CrPC mandates that a nominated person be informed."
Can a person be handcuffed?,"Only if necessary, and usually with court approval."
Can a Magistrate arrest someone?,"Yes, if the person commits an offence in their presence (Section 44 CrPC)."
What if the arrest is illegal?,The person can seek compensation and legal remedy.
What is bail?,Conditional release from custody pending trial or investigation.
Who can grant bail?,"Police officers and courts, depending on the nature of offence (bailable or non-bailable)."
When does police start an investigation?,As soon as they receive information about a cognizable offence (Section 154-156 CrPC).
What is a zero FIR?,ItÂs an FIR that can be filed at any police station regardless of jurisdiction and later transferred.
Can FIR be filed for a non-cognizable offence?,"No, police need Magistrate's permission to investigate such cases (Section 155 CrPC)."
What if police do not register FIR?,The informant can approach the Superintendent of Police or file a complaint with the Magistrate.
Can the police drop investigation midway?,"Yes, if there's no sufficient evidence, they may close the case and file a closure report."
What is Section 161 CrPC?,It allows police to examine witnesses during an investigation.
Can statements to police be used in court?,"No, they are not signed and generally not used as evidence unless under Section 164 CrPC."
What is Section 164 CrPC?,It allows Magistrates to record confessions or statements voluntarily made by witnesses/accused.
What is the charge sheet?,"It's a report filed by police after investigation, listing evidence and charges."
What is a final report?,It is filed by police when there is not enough evidence to prosecute the accused.
Is the accused entitled to a copy of the charge sheet?,"Yes, under Section 207 CrPC."
Can investigation be re-opened after charge sheet?,"Yes, with permission of the court under certain circumstances."
What is a supplementary charge sheet?,A second charge sheet filed when new evidence emerges.
Can police arrest after charge sheet?,"Yes, if the court issues a warrant or summons based on the charge sheet."
What is Section 173 CrPC?,It relates to completion and submission of investigation reports.
Who decides whether to take cognizance of the charge sheet?,The Magistrate examines the report and decides whether to proceed.
Can Magistrate reject a charge sheet?,"Yes, if the Magistrate finds the evidence insufficient."
Can investigation go on after filing the charge sheet?,"Yes, under Section 173(8) CrPC, with court's permission."
Is there a time limit for investigation?,"Ideally within 60/90 days, but not strictly enforced unless the accused is in custody."
What if false evidence is collected?,It is punishable under IPC and may lead to prosecution of the police or complainant.
What is the first stage of a criminal trial?,Taking cognizance by the Magistrate and issuing process to the accused.
What is framing of charge?,ItÂs when the court formally states the offence for which the accused is tried.
Can charges be changed during trial?,"Yes, under Section 216 CrPC, the court can alter charges if needed."
What happens after charges are framed?,The prosecution presents its evidence and examines witnesses.
Can an accused plead guilty?,"Yes, and the court may convict based on that plea."
Can a trial proceed in absence of the accused?,"Generally no, but exceptions exist (e.g., under Section 317 CrPC)."
What is cross-examination?,It's the questioning of a witness by the opposite party to test their credibility.
Can a case be dismissed midway?,"Yes, if the court finds insufficient evidence after the prosecution's case."
What is an acquittal?,A judgment stating that the accused is not guilty.
What is a conviction?,A judgment stating that the accused is guilty of the offence.
Can a victim be heard during trial?,"Yes, victims have the right to be represented and to seek compensation."
What is summary trial?,A quicker form of trial for minor offences with simplified procedures.
What is a sessions trial?,Trial of serious offences before a Sessions Court.
Who conducts the trial before a Sessions Court?,A Public Prosecutor conducts the trial on behalf of the State (Section 225 CrPC).
What is discharge?,ItÂs when the court releases the accused before trial due to lack of evidence.
What if multiple offences are committed?,The court may frame multiple charges and try them together (Section 220 CrPC).
What is compounding of offences?,Settling the case out of court with the victim's consent (Section 320 CrPC).
Can complainant withdraw the case?,"Yes, in summons cases or with court's permission in other cases (Section 257 CrPC)."
What happens when a witness doesn't appear?,The court may issue a summons or warrant to compel attendance.
What is the final step in a criminal trial?,The court delivers a judgment of acquittal or conviction.
Can a convicted person appeal?,"Yes, under Section 374 CrPC, appeals can be filed against conviction."
What is the time limit for filing an appeal?,"Usually within 30-90 days from the judgment, depending on the court."
Can the State appeal an acquittal?,"Yes, under Section 378 CrPC."
What is a revision?,ItÂs a special power of the High Court or Sessions Court to correct errors in judgment (Section 397 CrPC).
Can sentence be suspended during appeal?,"Yes, under Section 389 CrPC, and the person may be granted bail."
What if the High Court confirms the death sentence?,It must be confirmed before execution; appeal can also be made to the Supreme Court.
What is a mercy petition?,A petition to the President or Governor seeking pardon or commutation of sentence.
Can a trial be transferred to another court?,"Yes, by Sessions Court, High Court, or Supreme Court (Sections 406-408 CrPC)."
What is inherent power of High Court?,Section 482 CrPC allows the High Court to prevent abuse of process and secure justice.
Can the victim appeal against acquittal?,"Yes, under the proviso to Section 372 CrPC."
What is the difference between bailable and non-bailable offences?,Bailable offences allow bail as a right; non-bailable offences require court discretion for bail.
Who can grant bail?,Police can grant bail in bailable offences; courts grant bail in non-bailable offences.
What is anticipatory bail?,"Bail granted to a person fearing arrest in advance, under Section 438 CrPC."
What happens if bail is refused?,The accused remains in custody unless granted bail by a higher court.
Can bail conditions be imposed?,"Yes, courts can impose conditions like surrendering passport or regular court attendance."
What is Section 436A CrPC about?,It limits the maximum detention period for undertrial prisoners to 90 days in serious cases.
What is maintenance under CrPC?,"Court-ordered financial support to wives, children, or parents unable to maintain themselves (Section 125)."
Who can claim maintenance?,"Wife, children, or parents who are unable to support themselves."
What if the person ordered to pay maintenance fails to pay?,They can be punished with imprisonment or fine.
What powers does the police have to maintain public order?,"Police can disperse unlawful assemblies, prevent riots, and take preventive measures (Sections 129-132)."
What is an unlawful assembly?,A gathering of five or more people with the common intent to commit a crime or disturb peace.
What is Section 144 CrPC?,"It empowers Magistrates to issue orders to prevent public nuisance or danger, including prohibiting assembly."
Can police arrest without warrant to prevent a crime?,"Yes, under Section 151 CrPC, preventive arrest is allowed."
What is a summons-case?,A case involving a less serious offence where the accused is summoned to appear in court.
What is a warrant-case?,A serious offence where the court issues a warrant for arrest.
What is the role of a Sessions Judge?,To conduct trials of serious offences and supervise subordinate courts.
What is a Chief Judicial Magistrate?,The Magistrate in charge of judicial magistrates in a district.
What is the power of a Magistrate regarding bonds?,Magistrates can require sureties or bonds for good behaviour or peacekeeping (Sections 106-110).
What is compounding of offences?,"Settling an offence out of court with consent of parties, avoiding trial."
"What are ""summons to produce""Â and ""search warrants""Â?",Summons require a person to produce documents or things; search warrants allow police to search premises.
Can police seize property during investigation?,"Yes, they can seize property related to the offence under Sections 102 and 451."
What is plea bargaining under CrPC?,A process where accused negotiate with prosecution for lesser punishment (Chapter XXIA).
Can a witness refuse to appear?,"No, courts can summon or compel witnesses to attend."
What is a public prosecutor's role?,To represent the state in prosecuting criminal cases.
What is Section 482 CrPC?,The High Court's inherent power to prevent abuse of process or to secure justice.
Can a person be tried twice for the same offence?,"No, under Section 300 CrPC, no one can be tried again for the same offence after acquittal or conviction."
What is an appeal?,A legal process where a higher court reviews the decision of a lower court.
What is revision?,High Court's power to examine legality of a lower court's order.
What is a death sentence confirmation?,Death sentences by Sessions Courts must be confirmed by High Court.
Can trial courts transfer cases?,"Yes, courts can transfer cases for convenience or fairness."
What is framing of charge?,The formal process where the court states the specific offence the accused will be tried for.
Can a trial proceed without framing charges?,"No, framing of charges is essential before the trial begins."
What is the role of evidence in a trial?,Evidence proves or disproves the guilt of the accused.
What happens if the accused pleads guilty?,The court may convict without further trial but must ensure plea is voluntary.
Can witnesses be cross-examined?,"Yes, to test the credibility of their testimony."
What is a summary trial?,A speedy trial for minor offences with simplified procedures.
What is an adjournment?,A postponement of a court proceeding to a later date.
Can an accused be acquitted during trial?,"Yes, if evidence is insufficient or the prosecution fails to prove the case."
What is conviction?,A court's judgment that the accused is guilty.
What is sentencing?,The punishment imposed on a convicted person.
Can the court award compensation to victims?,"Yes, under Section 357 CrPC."
What is the process of appeal?,The losing party requests a higher court to review the decision.
Who can file an appeal?,"The accused, complainant, or State government depending on the case."
What is suspension of sentence?,Temporarily delaying punishment pending appeal.
What is the power of revision?,High Courts or Sessions Courts can review and correct lower court decisions.
What is compounding of offences?,Settling minor offences between parties to avoid prosecution.
Can an accused withdraw a plea?,"Yes, but only with the court's permission and under limited circumstances."
What is the limitation period for taking cognizance?,"Time limits vary by offence, but the general rule is as per Sections 467-469 CrPC."
What is a charge sheet?,Police report detailing charges and evidence filed after investigation.
Can an accused get a copy of the charge sheet?,"Yes, ItÂs a right under Section 207 CrPC."
What happens if the accused absconds?,Proclamation and attachment of property may be ordered.
What is bail forfeiture?,Losing the bail amount if the accused fails to appear in court.
What is a non-bailable offence?,An offence where bail is not guaranteed and depends on court discretion.
What is the right to legal aid?,Free legal assistance provided to accused who cannot afford a lawyer.
What is a summons?,Court order to appear for trial or inquiry.
What is a warrant?,Court order authorizing arrest or search.
What is the difference between a Judicial Magistrate and an Executive Magistrate?,Judicial Magistrates conduct trials; Executive Magistrates handle administrative and preventive functions.
What is the significance of Section 482 CrPC?,It safeguards against misuse of legal process and ensures justice.
What is an inquiry?,Preliminary investigation or hearing before trial.
What is police custody?,Detention by police for investigation.
What is judicial custody?,Detention by court order in jail.
Can an arrested person refuse medical examination?,"No, medical examination can be ordered to ensure health and gather evidence."
What is the time limit for investigation?,Generally 60/90 days depending on the offence.
What happens if investigation exceeds time limit?,Accused gains right to default bail.
What is the role of the Public Prosecutor?,To present the State's case against the accused.
Can an accused appeal against acquittal?,"Generally no, except under special circumstances."
What is plea bargaining?,Negotiated settlement to reduce punishment in certain cases.
Can evidence be collected illegally?,"No, illegal evidence may be excluded from trial."
"What is an ""open court""Â?",Court proceedings accessible to the public unless otherwise ordered.
Can trials be conducted in a language not understood by accused?,"No, courts must provide interpreters."
What is the procedure for filing an appeal?,"An appeal must be filed within the prescribed time and format, usually with a petition stating grounds for appeal."
Can bail be granted during appeal?,"Yes, courts often grant bail pending appeal under Section 389 CrPC."
What is the difference between appeal and revision?,Appeal challenges the judgment or order; revision examines the legality and propriety of lower court orders.
Who has the power to suspend sentence?,The court hearing the appeal can suspend sentence pending decision.
What happens if the accused absconds after bail?,Bail can be forfeited and a warrant issued for arrest.
What is remission of sentence?,Reduction of sentence by executive authority.
What is commutation of sentence?,"Changing one form of sentence to another, e.g., death sentence to life imprisonment."
What is Section 438 CrPC?,Provision for anticipatory bail.
What is Section 439 CrPC?,Special powers of High Court or Sessions Court to grant bail.
Can a person be tried for offences committed outside India?,"Yes, under Section 188 CrPC."
What is Section 41D CrPC?,Right of arrested person to meet an advocate during interrogation.
What is the period an accused can be detained before charge sheet?,60 days for offences punishable with less than 10 years; 90 days for more serious offences.
What is the procedure if no evidence is found?,Police submit a final report; Magistrate may accept and close case or order further inquiry.
"What is the meaning of ""inherent powers""Â of High Court?",Powers to prevent injustice or abuse of process not explicitly provided in law.
What is a Proclamation under CrPC?,Notice issued for person absconding or avoiding process of court.
What is the role of the District Magistrate?,To maintain law and order and supervise Executive Magistrates.
Can courts pass orders for attachment of property?,"Yes, to compel appearance or as security."
What is Section 144 CrPC used for?,To prevent assemblies and maintain peace in urgent cases.
"What is a ""security for good behaviour""Â?",Bond to keep peace and not commit certain acts.
"What is ""bond for appearance""Â?",A surety bond to ensure accused appears in court.
Can cases be withdrawn?,"Yes, prosecution can withdraw charges with court permission."
What is the procedure for trial of offences against public servants?,Special procedures under Section 195 CrPC.
Can police investigate non-cognizable cases?,Only with Magistrate's permission.
What is the scope of Section 41 CrPC?,Conditions when police may arrest without warrant.
What is the role of the Chief Judicial Magistrate?,Supervises Judicial Magistrates and controls criminal administration at district level.
What is the difference between Executive and Judicial Magistrates?,Executive Magistrates handle administrative duties; Judicial Magistrates conduct trials.
What is Section 164 CrPC about?,Magistrate's recording of confessions and statements.
"What is meant by ""trial in absentia""Â?","Trial conducted when accused is not present, in certain conditions."
Can accused request adjournment?,"Yes, but courts may deny if it delays justice."
What happens after conviction?,Court pronounces sentence and proceeds with execution unless stayed on appeal.
What is execution of sentence?,Carrying out the punishment imposed by the court.
Who supervises the execution of sentences?,"Sessions Judges and Magistrates, depending on the case."
Can death sentences be postponed?,"Yes, especially if an appeal or mercy petition is pending."
What is the role of jail authorities in execution?,To detain and manage prisoners and ensure sentences are implemented.
"What is ""probation of good conduct""Â?",Releasing an offender under supervision instead of imprisonment.
Can an accused be released on bail after conviction?,"Yes, if the court grants bail pending appeal or during the sentencing process."
What is the maximum period an undertrial can be detained?,Section 436A limits detention to 90 days in serious cases.
What is the power of High Court regarding bail?,High Courts have special powers to grant bail even in non-bailable cases.
Can cases be transferred between courts?,"Yes, to ensure fair trial or for convenience (Sections 406-408)."
"What is ""withdrawal from prosecution""Â?",The court can allow the prosecution to withdraw the case under certain conditions.
What is the procedure when an accused escapes?,Police can pursue and recapture (Section 60 CrPC).
What are the procedures for search and seizure?,Police must follow specific rules and obtain search warrants unless in urgent cases.
What is the difference between summons and warrant cases?,Summons cases are for less serious offences; warrant cases are for serious offences.
What is Section 154 CrPC?,Registration of FIR on receiving information about a cognizable offence.
"What is the ""charge""Â in criminal trials?",The formal accusation specifying the offence.
"What is ""dismissal of complaint""Â?",When the Magistrate rejects the complaint due to lack of evidence.
Can courts try persons of unsound mind?,Special procedures apply under Chapter XXV.
What is the role of Special Executive Magistrates?,They have limited powers for specific areas or functions.
Can accused persons be released on personal bonds?,"Yes, courts can release accused on personal bonds with or without sureties."
"What is ""probation""Â?",A system allowing offenders to live in the community under supervision instead of prison.
"What is ""attachment of property""Â?",Court order to seize property to compel compliance.
Can the accused challenge the jurisdiction of the court?,"Yes, the accused can question the court's jurisdiction."
What is the significance of Section 167 CrPC?,Governs the detention period before charge sheet submission.
What happens if police fail to complete investigation in time?,The accused may claim default bail.
"What is ""security for keeping peace""Â?",Court may require bonds to ensure peace during festivals or elections.
"What is ""complaint case""Â?",Case initiated by a complaint rather than police report.
Can Magistrates issue search warrants?,"Yes, for searching premises suspected of containing stolen property."
"What is ""dismissal of complaint""Â?",When the complaint is rejected by the Magistrate.
What is the procedure for dealing with juvenile offenders?,Special provisions under Juvenile Justice laws and CrPC Section 27.
Can accused be discharged before trial?,"Yes, if court finds insufficient evidence to proceed."
What is the role of witnesses in a trial?,Witnesses provide testimony that supports prosecution or defense.
Can witnesses refuse to testify?,"No, courts can compel attendance and punish refusal."
What is examination-in-chief?,The initial questioning of a witness by the party who called them.
What is cross-examination?,Questioning of a witness by the opposing party.
Can evidence be recorded in the absence of the accused?,"Generally no, except in special circumstances."
What is Section 164 CrPC?,Magistrate's recording of confessions and statements.
What is the importance of documentary evidence?,Documents can prove or disprove facts in the case.
What is the burden of proof in criminal trials?,The prosecution must prove the accused's guilt beyond reasonable doubt.
What is presumption of innocence?,Accused is presumed innocent until proven guilty.
Can accused be compelled to give evidence?,"No, accused cannot be forced to testify against themselves."
What is Section 313 CrPC?,Court's power to examine the accused during trial.
What happens after the prosecution closes its case?,Defense can submit discharge application or present its case.
Can trial be reopened after acquittal?,"Generally no, except in cases of fraud or new evidence."
What is the right to appeal?,Right to challenge a court's decision in a higher court.
What is Section 360 CrPC?,Power to release offenders on probation or admonition.
What is Section 321 CrPC?,Power to withdraw from prosecution with court approval.
Can summary trials be conducted for serious offences?,"No, only for minor offences specified under the law."
What is the maximum punishment in summary trials?,Usually imprisonment for up to six months or fine.
What is the role of the Sessions Court?,To try serious criminal offences and hear appeals from lower courts.
Can accused appeal against sentence and conviction?,"Yes, within prescribed time limits."
What is the scope of Section 439 CrPC?,Special powers of High Court and Sessions Court to grant bail.
What is the difference between appeal and revision?,Appeal challenges the order on facts and law; revision checks legal correctness.
Can the Supreme Court entertain appeals?,"Yes, under its appellate jurisdiction."
What is the limitation period for appeals?,Usually 30 to 90 days depending on the court.
Can courts order compensation for wrongful arrest?,"Yes, courts can order damages for unlawful arrest."
What is the procedure for execution of sentence?,"After conviction, the court issues warrants for imprisonment or fines."
Can fines be recovered through attachment?,"Yes, through property attachment and sale."
What is Section 482 CrPC?,High Court's inherent power to ensure justice and prevent abuse.
What is the right to legal representation?,Accused have the right to a lawyer at all stages.
Can courts transfer cases for fair trial?,"Yes, to ensure impartiality and convenience."
What is a summary trial by Magistrate of the second class?,A fast-track trial for petty offences conducted by a lower class Magistrate (Section 261 CrPC).
Can a person be released on personal bond?,"Yes, courts may release accused on personal bond without sureties."
What is Section 265A to 265L CrPC about?,These sections govern plea bargaining procedures.
What is the effect of plea bargaining?,It results in quicker disposal with mutually agreed terms.
Can plea bargaining be used for all offences?,"No, ItÂs excluded for serious offences like murder and rape."
What is the role of a medical practitioner during investigation?,"To examine accused or victim, especially in cases like rape (Sections 53, 53A)."
What is a commission for examination of witnesses?,Court order to examine witnesses unable to attend trial.
Can a trial proceed in the absence of an accused?,"Generally no, but exceptions exist."
What is Section 319 CrPC?,Power to proceed against other persons appearing guilty during trial.
What is compounding of offences?,Settling offences out of court with victim's consent (Section 320).
What is the process for maintenance of wives and children?,Court can order financial support under Section 125.
What is Section 482 CrPC?,High Court's power to prevent miscarriage of justice.
What is the difference between arrest and detention?,Arrest is taking a person into custody; detention is holding during investigation or trial.
Can an accused be remanded to police custody?,"Yes, but only for a maximum of 15 days (Section 167)."
"What is the meaning of ""trial in camera""Â?",Trial held privately without public or press.
What is Section 154 CrPC?,FIR registration on cognizable offence.
Can FIR be registered based on oral complaints?,"Yes, if the complaint discloses cognizable offence."
What is the role of the Magistrate in investigation?,Supervises police investigation and records confessions.
What is the difference between bailable and non-bailable offence?,Bailable offences guarantee bail; non-bailable do not.
What is Section 41 CrPC?,Conditions for arrest without warrant.
What is Section 50 CrPC?,Informing arrested persons about grounds of arrest and bail rights.
